problem_id,problem_text,domain,sub_domain,problem_type
Q00745,Workers need more consistent employment throughout the year.,Rural Livelihood,Employment,Seasonal Employment Problem
Q00754,There are few skill development centres in the area.,Rural Livelihood,Skill Development,Skill Training Shortage
Q00716,The digital application is difficult for people with disabilities to use.,Accessibility,Digital Accessibility,Digital Interface Accessibility Problem
Q00501,Rainfall patterns have become unpredictable in recent years.,Environment,Climate Issues,Changing Rainfall Pattern
Q00704,People with disabilities need help maintaining their assistive equipment.,Accessibility,Assistive Technology,Assistive Technology Support Problem
Q00012,Students do not have access to adequate facilities at the school.,Education,School Infrastructure,School Facility Shortage
Q00358,The groundwater level is falling every year.,Water Management,Groundwater,Falling Water Table
Q00044,Classes are often cancelled because teachers do not attend regularly.,Education,Teacher Availability,Teacher Absenteeism
Q00043,Teacher attendance is a serious problem at the school.,Education,Teacher Availability,Teacher Absenteeism
Q00168,The canal used for farming has developed cracks and leaks.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00712,Visually impaired users cannot access important information on the website.,Accessibility,Digital Accessibility,Screen Reader Accessibility Problem
Q00651,The area does not have enough public spaces for residents.,Urban Development,Urban Infrastructure,Public Space Shortage
Q00465,Fertilizer runoff is polluting nearby rivers.,Environment,Water Pollution,Agricultural Runoff Pollution
Q00179,Water cannot flow properly through the damaged irrigation canal.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00536,Electricity supply is interrupted frequently without warning.,Energy,Power Reliability,Power Supply Interruption
Q00545,The community lacks sufficient solar energy infrastructure.,Energy,Renewable Energy,Solar Energy Access
Q00178,The agricultural water channel requires maintenance.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00559,Residents feel unsafe because roads lack proper lighting.,Energy,Street Lighting,Street Light Shortage
Q00610,Illegal roadside parking is affecting traffic movement.,Urban Development,Traffic Management,Parking Problem
Q00258,The village lacks equipment for modern farming.,Agriculture,Agricultural Equipment,Equipment Shortage
Q00364,Household waste remains uncollected in many areas.,Sanitation,Waste Management,Poor Waste Collection
Q00517,Residents face difficulties applying for electricity connections.,Energy,Electricity Access,New Electricity Connection Problem
Q00016,Students do not have access to enough computers at school.,Education,Digital Education,Computer Lab Shortage
Q00004,The school needs additional classrooms because existing rooms are overcrowded.,Education,School Infrastructure,Classroom Shortage
Q00649,The area needs better infrastructure and civic facilities.,Urban Development,Urban Infrastructure,Poor Urban Infrastructure
Q00257,Small farmers cannot access the machines needed for cultivation.,Agriculture,Agricultural Equipment,Equipment Shortage
Q00376,Sewage frequently overflows onto roads in the village.,Sanitation,Sewage Management,Sewage Overflow
Q00395,The community needs additional toilet facilities.,Sanitation,Toilet Facilities,Toilet Shortage
Q00343,Leaking taps and pipes are causing significant water wastage.,Water Management,Water Conservation,Water Wastage
Q00483,Forest clearing is reducing habitat for local animals.,Environment,Biodiversity,Wildlife Habitat Loss
Q00555,There is little knowledge about renewable energy solutions.,Energy,Renewable Energy,Renewable Energy Awareness
Q00639,Existing housing infrastructure is inadequate.,Urban Development,Housing,Poor Housing Condition
Q00645,The community lacks affordable housing options.,Urban Development,Housing,Affordable Housing Problem
Q00325,Residents are affected by frequent pipeline failures.,Water Management,Water Supply,Water Pipeline Problem
Q00773,Rural businesses need better market connections.,Rural Livelihood,Small Businesses,Small Business Market Access
Q00010,The classroom building has cracks and damaged facilities.,Education,School Infrastructure,Poor School Building
Q00250,Agricultural land is suffering from soil degradation.,Agriculture,Soil Health,Soil Degradation
Q00023,Online learning is difficult because the internet connection frequently fails.,Education,Digital Education,Poor Internet Connectivity
Q00222,Agricultural output remains low despite cultivation efforts.,Agriculture,Crop Management,Low Crop Productivity
Q00553,People are unaware of the benefits of renewable energy.,Energy,Renewable Energy,Renewable Energy Awareness
Q00699,People with disabilities need affordable assistive devices.,Accessibility,Assistive Technology,Assistive Technology Cost
Q00795,Limited access to startup capital is affecting rural entrepreneurship.,Rural Livelihood,Self Employment,Self Employment Finance Problem
Q00535,Low power voltage is affecting homes and businesses.,Energy,Power Reliability,Low Voltage Problem
Q00341,Large quantities of water are wasted because of leaking systems.,Water Management,Water Conservation,Water Wastage
Q00679,Accessible vehicles are not available in the area.,Accessibility,Accessible Transport,Accessible Transport Shortage
Q00204,The community lacks experts who can advise farmers about suitable crops.,Agriculture,Crop Management,Crop Selection Problem
Q00238,Farmers need access to soil testing services.,Agriculture,Soil Health,Soil Testing Access
Q00094,The health centre needs modern medical equipment.,Healthcare,Medical Infrastructure,Medical Equipment Shortage
Q00405,The existing toilets are not properly maintained.,Sanitation,Toilet Facilities,Toilet Maintenance Problem
Q00749,Workers cannot easily access employment opportunities in nearby areas.,Rural Livelihood,Employment,Local Job Access Problem
Q00514,Electricity connections are unavailable for some families.,Energy,Electricity Access,Electricity Access Problem
Q00285,Poor storage facilities are causing post harvest losses.,Agriculture,Agricultural Market,Agricultural Storage Problem
Q00185,Agricultural fields do not have proper water distribution infrastructure.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00657,Public facilities are insufficient for the growing population.,Urban Development,Urban Infrastructure,Civic Facility Shortage
Q00537,Unexpected power interruptions affect daily activities.,Energy,Power Reliability,Power Supply Interruption
Q00154,Crops are drying because farmers cannot get sufficient water.,Agriculture,Irrigation,Irrigation Water Shortage
Q00076,Villagers have difficulty accessing basic healthcare services.,Healthcare,Healthcare Access,Healthcare Access Problem
Q00458,Sewage is entering the village pond.,Environment,Water Pollution,Sewage Water Pollution
Q00678,The transport system lacks facilities for people with disabilities.,Accessibility,Accessible Transport,Accessible Transport Shortage
Q00278,Farmers depend on middlemen because direct market access is limited.,Agriculture,Agricultural Market,Market Access Problem
Q00069,The area needs better infrastructure for vocational training.,Education,Vocational Training,Training Facility Shortage
Q00519,The process of getting a new power connection is difficult.,Energy,Electricity Access,New Electricity Connection Problem
Q00189,There is inadequate infrastructure for agricultural water supply.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00272,The price offered for agricultural produce is not enough for farmers.,Agriculture,Agricultural Market,Low Crop Prices
Q00237,There is no nearby facility for agricultural soil testing.,Agriculture,Soil Health,Soil Testing Access
Q00089,The community needs a healthcare facility within the village.,Healthcare,Healthcare Access,Lack of Local Healthcare
Q00690,The area needs more disability-friendly buses.,Accessibility,Accessible Transport,Accessible Bus Shortage
Q00118,The health centre does not have a doctor during important hours.,Healthcare,Doctor Availability,Doctor Unavailability
Q00126,Basic medicines needed by patients are not available.,Healthcare,Medicine Availability,Essential Medicine Unavailability
Q00668,Several public facilities lack accessible ramps.,Accessibility,Accessible Buildings,Ramp Shortage
Q00290,Residents struggle to collect enough water for drinking.,Water Management,Drinking Water,Drinking Water Shortage
Q00239,The village lacks a soil testing laboratory.,Agriculture,Soil Health,Soil Testing Access
Q00001,The government school does not have enough classrooms for all students.,Education,School Infrastructure,Classroom Shortage
Q00802,The village needs warehouses for local products.,Rural Livelihood,Rural Infrastructure,Storage Infrastructure Problem
Q00389,Wastewater cannot be safely carried away from homes.,Sanitation,Sewage Management,Sewage Network Problem
Q00709,The website lacks accessibility features.,Accessibility,Digital Accessibility,Inaccessible Websites
Q00534,The voltage frequently drops below normal levels.,Energy,Power Reliability,Low Voltage Problem
Q00279,Local farmers struggle to find buyers for their agricultural products.,Agriculture,Agricultural Market,Market Access Problem
Q00631,Many families do not have adequate housing.,Urban Development,Housing,Housing Shortage
Q00117,Patients often return without seeing a doctor.,Healthcare,Doctor Availability,Doctor Unavailability
Q00229,The agricultural land has low fertility.,Agriculture,Soil Health,Soil Fertility Problem
Q00572,Electricity is being wasted in government buildings.,Energy,Energy Efficiency,Building Energy Wastage
Q00425,Residents are concerned about the poor cleanliness of common areas.,Sanitation,Public Cleanliness,Poor Public Cleanliness
Q00602,Roads become heavily congested during peak hours.,Urban Development,Traffic Management,Traffic Congestion
Q00275,Farmers suffer losses because market prices are low.,Agriculture,Agricultural Market,Low Crop Prices
Q00319,Households cannot depend on a fixed water supply schedule.,Water Management,Water Supply,Irregular Water Supply
Q00794,People need financial support to start self-employment activities.,Rural Livelihood,Self Employment,Self Employment Finance Problem
Q00145,Emergency transport is difficult to arrange in the village.,Healthcare,Emergency Services,Ambulance Unavailability
Q00583,People often waste electricity because they lack awareness.,Energy,Energy Efficiency,Energy Awareness Problem
Q00513,Residents in remote areas lack access to electricity.,Energy,Electricity Access,Electricity Access Problem
Q00737,Young people struggle to find jobs locally.,Rural Livelihood,Employment,Rural Employment Shortage
Q00591,Roads are not maintained regularly.,Urban Development,Roads,Road Maintenance Problem
Q00370,Residents need a proper waste disposal facility.,Sanitation,Waste Management,Open Waste Dumping
Q00269,Broken agricultural machines remain unused because repair services are unavailable.,Agriculture,Agricultural Equipment,Equipment Maintenance
Q00573,The school building uses more power than necessary.,Energy,Energy Efficiency,Building Energy Wastage
Q00308,The village water has an unpleasant smell and poor quality.,Water Management,Water Quality,Poor Water Quality
Q00311,Residents do not have access to regular water quality testing.,Water Management,Water Quality,Water Testing Problem
Q00637,Families are living in unsafe houses.,Urban Development,Housing,Poor Housing Condition
Q00047,Students face difficulties applying for education scholarships.,Education,Student Services,Scholarship Access Problem
Q00350,Farmers are worried about continuous groundwater depletion.,Water Management,Groundwater,Groundwater Depletion
Q00372,Wet and dry waste are being mixed together.,Sanitation,Waste Management,Waste Segregation Problem
Q00529,Frequent outages are affecting households and businesses.,Energy,Power Reliability,Frequent Power Cuts
Q00262,Agricultural equipment is too expensive for local farmers.,Agriculture,Agricultural Equipment,Expensive Farm Equipment
Q00196,Farmers do not know which crops are suitable for the local conditions.,Agriculture,Crop Management,Crop Selection Problem
Q00810,Poor market facilities are affecting rural businesses.,Rural Livelihood,Rural Infrastructure,Market Infrastructure Problem
Q00680,People with mobility difficulties struggle to use public transport.,Accessibility,Accessible Transport,Accessible Transport Shortage
Q00108,There is a shortage of doctors in the village health centre.,Healthcare,Doctor Availability,Doctor Shortage
Q00060,The school needs more textbooks and educational materials.,Education,Student Services,Learning Material Shortage
Q00605,Traffic jams are affecting daily commuters.,Urban Development,Traffic Management,Traffic Congestion
Q00444,Factory smoke is affecting people living nearby.,Environment,Air Pollution,Industrial Air Pollution
Q00101,The village health facility lacks essential infrastructure.,Healthcare,Medical Infrastructure,Healthcare Infrastructure Problem
Q00482,Development activities are destroying wildlife habitats.,Environment,Biodiversity,Wildlife Habitat Loss
Q00728,Residents do not know which government services are accessible.,Accessibility,Public Services Accessibility,Accessibility Information Problem
Q00589,The road surface has deteriorated significantly.,Urban Development,Roads,Damaged Roads
Q00798,"The rural area needs better roads, storage and market facilities.",Rural Livelihood,Rural Infrastructure,Rural Infrastructure Shortage
Q00180,The village needs urgent repairs to its farm irrigation channel.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00305,Pollution has made the local water source unsafe.,Water Management,Water Quality,Water Contamination
Q00434,The village needs sanitation awareness programs.,Sanitation,Public Cleanliness,Sanitation Awareness Problem
Q00496,Extreme weather events are increasingly affecting the village.,Environment,Climate Issues,Extreme Weather Impact
Q00781,Residents have limited opportunities to start their own businesses.,Rural Livelihood,Self Employment,Self Employment Opportunity Shortage
Q00150,The delay in emergency response puts patients at risk.,Healthcare,Emergency Services,Emergency Response Delay
Q00125,Patients are forced to buy medicines elsewhere because the centre has none.,Healthcare,Medicine Availability,Medicine Shortage
Q00642,Housing costs are too high for many residents.,Urban Development,Housing,Affordable Housing Problem
Q00706,Government websites are difficult for people with disabilities to use.,Accessibility,Digital Accessibility,Inaccessible Websites
Q00186,The village needs a better system to deliver water to farms.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00685,Wheelchair accessibility is poor in local transport.,Accessibility,Accessible Transport,Wheelchair Transport Problem
Q00051,Students from remote villages have difficulty reaching school.,Education,Student Services,Student Transport Problem
Q00549,Many solar systems are not working properly.,Energy,Renewable Energy,Solar Installation Problem
Q00800,Poor infrastructure is making it difficult for villagers to improve their livelihoods.,Rural Livelihood,Rural Infrastructure,Rural Infrastructure Shortage
Q00776,Local entrepreneurs do not receive enough business support.,Rural Livelihood,Small Businesses,Small Business Support Shortage
Q00322,Broken pipes are reducing water supply to households.,Water Management,Water Supply,Water Pipeline Problem
Q00354,The village needs better infrastructure to access groundwater.,Water Management,Groundwater,Groundwater Access Problem
Q00750,The village needs better access to local jobs.,Rural Livelihood,Employment,Local Job Access Problem
Q00143,The area does not have reliable ambulance services.,Healthcare,Emergency Services,Ambulance Unavailability
Q00371,Households do not have facilities to separate different types of waste.,Sanitation,Waste Management,Waste Segregation Problem
Q00142,Villagers cannot arrange an ambulance quickly during emergencies.,Healthcare,Emergency Services,Ambulance Unavailability
Q00400,The local public toilet needs urgent renovation.,Sanitation,Toilet Facilities,Poor Public Toilets
Q00264,Farmers cannot purchase necessary equipment because of its price.,Agriculture,Agricultural Equipment,Expensive Farm Equipment
Q00321,The water pipeline supplying the village is damaged.,Water Management,Water Supply,Water Pipeline Problem
Q00020,The school needs a functional computer lab for students.,Education,Digital Education,Computer Lab Shortage
Q00173,The irrigation channel has been broken for several months.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00661,Public buildings do not have facilities for people with disabilities.,Accessibility,Accessible Buildings,Inaccessible Public Buildings
Q00313,People do not know whether their water source is safe.,Water Management,Water Quality,Water Testing Problem
Q00391,The village does not have enough toilets for residents.,Sanitation,Toilet Facilities,Toilet Shortage
Q00756,Existing skill training programs do not provide adequate practical knowledge.,Rural Livelihood,Skill Development,Training Quality Problem
Q00013,The school is missing important educational facilities.,Education,School Infrastructure,School Facility Shortage
Q00408,Waste is preventing proper flow through the drainage system.,Sanitation,Drainage,Blocked Drainage
Q00409,The drainage channels are clogged and need cleaning.,Sanitation,Drainage,Blocked Drainage
Q00306,The water supplied to households is of poor quality.,Water Management,Water Quality,Poor Water Quality
Q00355,Water sources are too deep for many households to reach.,Water Management,Groundwater,Groundwater Access Problem
Q00026,The school does not have enough digital devices for students.,Education,Digital Education,Digital Learning Equipment Shortage
Q00603,Vehicles frequently get stuck in traffic.,Urban Development,Traffic Management,Traffic Congestion
Q00170,The village irrigation channel needs urgent repair.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00039,Students are struggling because specialist subject teachers are unavailable.,Education,Teacher Availability,Subject Teacher Shortage
Q00176,Farmers are requesting repair of the irrigation canal.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00246,The quality of agricultural soil is deteriorating.,Agriculture,Soil Health,Soil Degradation
Q00299,Residents need better infrastructure for clean water supply.,Water Management,Drinking Water,Drinking Water Infrastructure Problem
Q00676,People with disabilities have limited access to public transport.,Accessibility,Accessible Transport,Accessible Transport Shortage
Q00417,There are no proper drains in several residential areas.,Sanitation,Drainage,Poor Drainage Infrastructure
Q00673,People with disabilities cannot easily use public toilets.,Accessibility,Accessible Buildings,Accessible Toilet Shortage
Q00273,Farmers are unable to earn a fair price for their harvest.,Agriculture,Agricultural Market,Low Crop Prices
Q00618,People struggle to find reliable public transportation.,Urban Development,Public Transport,Public Transport Shortage
Q00155,The village does not have a reliable source of water for agricultural fields.,Agriculture,Irrigation,Irrigation Water Shortage
Q00127,The health centre does not stock essential medicines.,Healthcare,Medicine Availability,Essential Medicine Unavailability
Q00450,Dust from construction sites is reducing air quality.,Environment,Air Pollution,Dust Pollution
Q00577,Old electrical equipment is still being used instead of efficient alternatives.,Energy,Energy Efficiency,Energy Efficient Equipment Shortage
Q00342,Water is unnecessarily wasted in the village.,Water Management,Water Conservation,Water Wastage
Q00431,Residents need greater awareness about sanitation practices.,Sanitation,Public Cleanliness,Sanitation Awareness Problem
Q00288,People have difficulty getting sufficient drinking water.,Water Management,Drinking Water,Drinking Water Shortage
Q00114,The hospital lacks specialist medical staff.,Healthcare,Doctor Availability,Specialist Doctor Shortage
Q00792,Aspiring entrepreneurs struggle to obtain funds for self-employment.,Rural Livelihood,Self Employment,Self Employment Finance Problem
Q00174,The canal infrastructure is in poor condition.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00360,The falling water table is affecting local water availability.,Water Management,Groundwater,Falling Water Table
Q00487,The number of native species has declined significantly.,Environment,Biodiversity,Species Decline
Q00058,Many children lack the books required for their studies.,Education,Student Services,Learning Material Shortage
Q00558,The village needs additional street lighting.,Energy,Street Lighting,Street Light Shortage
Q00223,Farmers are experiencing declining crop yields.,Agriculture,Crop Management,Low Crop Productivity
Q00281,Farmers do not have proper storage facilities for harvested crops.,Agriculture,Agricultural Market,Agricultural Storage Problem
Q00018,There are too few computers for students to practice digital learning.,Education,Digital Education,Computer Lab Shortage
Q00128,Patients cannot obtain commonly required medicines locally.,Healthcare,Medicine Availability,Essential Medicine Unavailability
Q00323,The village pipeline network needs urgent repair.,Water Management,Water Supply,Water Pipeline Problem
Q00256,Farmers do not have enough agricultural equipment.,Agriculture,Agricultural Equipment,Equipment Shortage
Q00544,Residents want better access to solar power.,Energy,Renewable Energy,Solar Energy Access
Q00471,People are illegally cutting trees in the forest.,Environment,Deforestation,Illegal Tree Cutting
Q00604,The area needs better traffic management.,Urban Development,Traffic Management,Traffic Congestion
Q00469,Forest areas are shrinking because of excessive tree removal.,Environment,Deforestation,Forest Loss
Q00779,New businesses struggle because professional guidance is unavailable.,Rural Livelihood,Small Businesses,Small Business Support Shortage
Q00191,The existing irrigation network does not cover all agricultural fields.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00116,The doctor is frequently unavailable at the health centre.,Healthcare,Doctor Availability,Doctor Unavailability
Q00522,Some rural settlements remain without electricity.,Energy,Electricity Access,Rural Electrification Problem
Q00718,The interface is not suitable for users with visual or motor difficulties.,Accessibility,Digital Accessibility,Digital Interface Accessibility Problem
Q00508,Extreme heat is affecting outdoor workers.,Environment,Climate Issues,Heat Stress
Q00095,Patients are affected by the shortage of medical equipment.,Healthcare,Medical Infrastructure,Medical Equipment Shortage
Q00181,The village does not have proper irrigation infrastructure.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00302,Residents are worried because the local water is contaminated.,Water Management,Water Quality,Water Contamination
Q00623,The village needs more reliable bus services.,Urban Development,Public Transport,Bus Service Problem
Q00587,Potholes have made the road difficult to use.,Urban Development,Roads,Damaged Roads
Q00596,The village needs a proper road connecting nearby areas.,Urban Development,Roads,Road Construction Problem
Q00767,Local entrepreneurs have difficulty accessing business finance.,Rural Livelihood,Small Businesses,Small Business Finance Problem
Q00621,Bus services are irregular in the area.,Urban Development,Public Transport,Bus Service Problem
Q00717,Online forms have accessibility barriers.,Accessibility,Digital Accessibility,Digital Interface Accessibility Problem
Q00548,Residents need technical support for solar systems.,Energy,Renewable Energy,Solar Installation Problem
Q00006,The school building is in poor condition and needs urgent repair.,Education,School Infrastructure,Poor School Building
Q00796,The village lacks basic infrastructure needed for economic development.,Rural Livelihood,Rural Infrastructure,Rural Infrastructure Shortage
Q00046,Eligible students are unable to receive their scholarships on time.,Education,Student Services,Scholarship Access Problem
Q00736,There are very few employment opportunities in the village.,Rural Livelihood,Employment,Rural Employment Shortage
Q00158,Farmers face severe water shortage while growing crops.,Agriculture,Irrigation,Irrigation Water Shortage
Q00611,Traffic signals are not working properly.,Urban Development,Traffic Management,Traffic Signal Problem
Q00172,Farmers are unable to use the canal because it is badly damaged.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00017,The school does not have a proper computer laboratory.,Education,Digital Education,Computer Lab Shortage
Q00512,Several homes are not connected to the electricity grid.,Energy,Electricity Access,Electricity Access Problem
Q00049,Scholarship payments are delayed for students.,Education,Student Services,Scholarship Access Problem
Q00785,The community needs more opportunities for self-employment.,Rural Livelihood,Self Employment,Self Employment Opportunity Shortage
Q00516,Families are waiting for new electricity connections.,Energy,Electricity Access,New Electricity Connection Problem
Q00568,Street lighting is insufficient in the village.,Energy,Street Lighting,Poor Street Lighting
Q00481,Wild animals are losing their natural habitat.,Environment,Biodiversity,Wildlife Habitat Loss
Q00284,Farmers are forced to sell crops quickly because storage is unavailable.,Agriculture,Agricultural Market,Agricultural Storage Problem
Q00542,Households need affordable solar power solutions.,Energy,Renewable Energy,Solar Energy Access
Q00226,The soil in the village has become less fertile.,Agriculture,Soil Health,Soil Fertility Problem
Q00027,Students lack tablets and other equipment needed for digital learning.,Education,Digital Education,Digital Learning Equipment Shortage
Q00638,The roofs and walls of several homes are damaged.,Urban Development,Housing,Poor Housing Condition
Q00438,Residents are affected by excessive vehicle smoke.,Environment,Air Pollution,Vehicle Pollution
Q00365,The village needs a reliable garbage collection system.,Sanitation,Waste Management,Poor Waste Collection
Q00230,Farmers need help improving the nutrient quality of their soil.,Agriculture,Soil Health,Soil Fertility Problem
Q00038,There is no dedicated mathematics teacher at the school.,Education,Teacher Availability,Subject Teacher Shortage
Q00780,Rural entrepreneurs need better institutional support.,Rural Livelihood,Small Businesses,Small Business Support Shortage
Q00375,Waste is collected without separating recyclable materials.,Sanitation,Waste Management,Waste Segregation Problem
Q00470,The community is concerned about increasing deforestation.,Environment,Deforestation,Forest Loss
Q00782,Young people need more self-employment opportunities.,Rural Livelihood,Self Employment,Self Employment Opportunity Shortage
Q00691,People with disabilities do not have access to necessary assistive devices.,Accessibility,Assistive Technology,Assistive Device Shortage
Q00598,Several residential areas still lack proper roads.,Urban Development,Roads,Road Construction Problem
Q00195,The current irrigation system cannot meet agricultural demand.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00693,Assistive devices are not easily available locally.,Accessibility,Assistive Technology,Assistive Device Shortage
Q00724,People with disabilities face barriers while applying for public services.,Accessibility,Public Services Accessibility,Government Service Accessibility Problem
Q00504,Irregular rainfall is affecting agricultural activities.,Environment,Climate Issues,Changing Rainfall Pattern
Q00784,People struggle to find viable self-employment options.,Rural Livelihood,Self Employment,Self Employment Opportunity Shortage
Q00677,Public buses are not suitable for wheelchair users.,Accessibility,Accessible Transport,Accessible Transport Shortage
Q00783,The village lacks support for people who want to become entrepreneurs.,Rural Livelihood,Self Employment,Self Employment Opportunity Shortage
Q00163,The available water is not sufficient for farming.,Agriculture,Irrigation,Irrigation Water Shortage
Q00579,Government facilities need efficient lighting and appliances.,Energy,Energy Efficiency,Energy Efficient Equipment Shortage
Q00153,Farmers struggle to provide water to their crops.,Agriculture,Irrigation,Irrigation Water Shortage
Q00768,Small business owners need better access to credit.,Rural Livelihood,Small Businesses,Small Business Finance Problem
Q00656,Residents lack adequate civic facilities in the area.,Urban Development,Urban Infrastructure,Civic Facility Shortage
Q00619,The town needs better public transport services.,Urban Development,Public Transport,Public Transport Shortage
Q00112,There is no specialist available for serious medical conditions.,Healthcare,Doctor Availability,Specialist Doctor Shortage
Q00227,Farmers are experiencing poor soil fertility.,Agriculture,Soil Health,Soil Fertility Problem
Q00569,Public areas need better lighting at night.,Energy,Street Lighting,Poor Street Lighting
Q00104,Existing healthcare infrastructure cannot meet community needs.,Healthcare,Medical Infrastructure,Healthcare Infrastructure Problem
Q00422,Roads and public spaces are covered with garbage.,Sanitation,Public Cleanliness,Poor Public Cleanliness
Q00420,The community needs improved drainage infrastructure.,Sanitation,Drainage,Poor Drainage Infrastructure
Q00120,Residents cannot reliably meet a doctor when they need one.,Healthcare,Doctor Availability,Doctor Unavailability
Q00054,Students struggle to attend school due to transportation problems.,Education,Student Services,Student Transport Problem
Q00152,There is not enough water available for farming during summer.,Agriculture,Irrigation,Irrigation Water Shortage
Q00404,Public sanitation facilities require regular cleaning.,Sanitation,Toilet Facilities,Toilet Maintenance Problem
Q00764,There is a mismatch between available skills and employment opportunities.,Rural Livelihood,Skill Development,Skill Job Mismatch
Q00208,Farmers do not have enough knowledge to manage crop diseases.,Agriculture,Crop Management,Crop Disease Management
Q00686,There are very few buses designed for passengers with disabilities.,Accessibility,Accessible Transport,Accessible Bus Shortage
Q00625,The current bus service does not meet local demand.,Urban Development,Public Transport,Bus Service Problem
Q00009,The school infrastructure has deteriorated and requires renovation.,Education,School Infrastructure,Poor School Building
Q00659,Basic civic amenities are unavailable in some areas.,Urban Development,Urban Infrastructure,Civic Facility Shortage
Q00037,The school lacks teachers for important subjects.,Education,Teacher Availability,Subject Teacher Shortage
Q00453,Wastewater from industries is affecting water quality.,Environment,Water Pollution,Industrial Water Pollution
Q00254,Farmers are facing declining soil quality.,Agriculture,Soil Health,Soil Degradation
Q00304,The community is facing contamination of its drinking water.,Water Management,Water Quality,Water Contamination
Q00612,The main intersection lacks functional traffic lights.,Urban Development,Traffic Management,Traffic Signal Problem
Q00585,The village needs an energy conservation awareness program.,Energy,Energy Efficiency,Energy Awareness Problem
Q00735,People with disabilities face difficulties because assistance is unavailable.,Accessibility,Public Services Accessibility,Service Assistance Shortage
Q00263,The high cost of machines prevents farmers from adopting modern methods.,Agriculture,Agricultural Equipment,Expensive Farm Equipment
Q00298,The local drinking water system requires major improvements.,Water Management,Drinking Water,Drinking Water Infrastructure Problem
Q00415,Poor drainage causes frequent waterlogging.,Sanitation,Drainage,Waterlogging
Q00151,Farmers do not have enough water to irrigate their fields.,Agriculture,Irrigation,Irrigation Water Shortage
Q00644,Families need access to low cost housing.,Urban Development,Housing,Affordable Housing Problem
Q00721,People with disabilities face difficulties accessing government services.,Accessibility,Public Services Accessibility,Government Service Accessibility Problem
Q00551,Residents have limited awareness about renewable energy.,Energy,Renewable Energy,Renewable Energy Awareness
Q00489,Some species are disappearing from the area.,Environment,Biodiversity,Species Decline
Q00148,Emergency response is slow in remote areas.,Healthcare,Emergency Services,Emergency Response Delay
Q00147,Patients face delays in receiving emergency medical assistance.,Healthcare,Emergency Services,Emergency Response Delay
Q00594,Road maintenance work is delayed frequently.,Urban Development,Roads,Road Maintenance Problem
Q00753,Residents need practical training to improve employment opportunities.,Rural Livelihood,Skill Development,Skill Training Shortage
Q00607,Vehicles are parked randomly along busy roads.,Urban Development,Traffic Management,Parking Problem
Q00349,Groundwater availability has decreased significantly.,Water Management,Groundwater,Groundwater Depletion
Q00464,Pesticide runoff is affecting water quality.,Environment,Water Pollution,Agricultural Runoff Pollution
Q00326,Some households receive water while others receive very little.,Water Management,Water Supply,Water Distribution Problem
Q00187,Farmers depend mainly on rainfall because irrigation facilities are poor.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00124,The local medical store has shortages of essential drugs.,Healthcare,Medicine Availability,Medicine Shortage
Q00692,Many residents cannot obtain wheelchairs and other support equipment.,Accessibility,Assistive Technology,Assistive Device Shortage
Q00144,Patients wait too long for ambulances during emergencies.,Healthcare,Emergency Services,Ambulance Unavailability
Q00774,Small producers cannot easily sell their products in nearby towns.,Rural Livelihood,Small Businesses,Small Business Market Access
Q00198,The wrong crop choices are reducing farm productivity.,Agriculture,Crop Management,Crop Selection Problem
Q00280,The village needs better access to agricultural markets.,Agriculture,Agricultural Market,Market Access Problem
Q00294,The village lacks a dependable source of clean drinking water.,Water Management,Drinking Water,Clean Drinking Water Access
Q00401,Toilets are not cleaned regularly.,Sanitation,Toilet Facilities,Toilet Maintenance Problem
Q00123,Important medicines are often unavailable at the health centre.,Healthcare,Medicine Availability,Medicine Shortage
Q00184,The existing irrigation facilities are inadequate for local farmers.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00203,Farmers need better information about crop selection.,Agriculture,Crop Management,Crop Selection Problem
Q00439,Old vehicles are producing large amounts of pollution.,Environment,Air Pollution,Vehicle Pollution
Q00247,Soil erosion is reducing the quality of farmland.,Agriculture,Soil Health,Soil Degradation
Q00416,The village does not have adequate drainage infrastructure.,Sanitation,Drainage,Poor Drainage Infrastructure
Q00722,Public services are not easily accessible to residents with disabilities.,Accessibility,Public Services Accessibility,Government Service Accessibility Problem
Q00130,Residents face problems getting basic medicines.,Healthcare,Medicine Availability,Essential Medicine Unavailability
Q00403,Toilet facilities become unusable because maintenance is poor.,Sanitation,Toilet Facilities,Toilet Maintenance Problem
Q00762,Young people complete training but struggle to find relevant jobs.,Rural Livelihood,Skill Development,Skill Job Mismatch
